sub,intercept,beta,learning_rate_environment_raw,learning_rate_environment_transformed,learning_rate_options_raw,learning_rate_options_transformed
2,2.059067723392846,0.11308728859081409,-2.2921891358158737,0.010947365795467678,-0.5632313313078063,0.2866386853173657
3,0.6732955213850201,0.15346736055340662,-3.1973899362705187,0.0006933866117523335,-1.5815146539822391,0.05688020551525419
4,-0.04249319325283282,0.14346808483905718,-2.0787430240054605,0.018820488115781575,-0.45358494516652786,0.325063795623316
5,-0.8905568569553606,0.06349060537901807,-3.6164061582715044,0.0001493607710922884,-0.38778070007562415,0.3490891646121644
6,0.691996038092946,0.16703808503800677,-1.8584185198410468,0.031554802166592566,-1.3396658626190716,0.09017700034543763
8,0.5925935214679449,0.1728998778525579,-3.9423523742406443,4.0343157175659616e-5,-1.6055959777969044,0.054181354900425416
9,-0.08029164260137751,0.08414140625888704,-2.300778380729964,0.010702080528902758,-0.4047867404150332,0.3428171380972149
10,0.514826955357519,0.10786966938915889,-2.0256978801875136,0.021397877033462076,-0.2657283696715749,0.39522420640303824
11,0.8442571447383393,0.11781112332988482,-3.009247042406728,0.0013094803297037383,-1.3830033309953227,0.08333192226732328
12,0.6636688819948057,0.10584547228053384,-2.2482666362525965,0.012279596412656746,-0.44548966575739846,0.3279829631917351
13,0.9685340537703648,0.08118265998510496,-2.04613572747207,0.020371509373156682,-0.1756838801904281,0.4302711500348025
14,-1.0337602738660863,0.19090183837441024,-2.023091277777558,0.02153186882378577,-0.4564197327368709,0.32404408932772644
15,0.598302375219457,0.09174808695462834,-1.9925712756769,0.023154206577606862,0.21593286683371923,0.5854799613148934
16,0.6818093865099638,0.16153392515486578,-2.4562040667550873,0.007020669870837104,-1.1414000083229408,0.1268517506186222
17,1.3190240987553958,0.07407138393523194,0.42781522905013813,0.6656071757534636,-0.16150968742689434,0.43584599103030314
18,2.2900328262919545,0.08574566284060074,-2.2211619308248474,0.013169997816816548,-0.2600497473247164,0.3974127002065254
20,1.8817829296927422,0.10908873702890733,-3.34355054449525,0.00041356812422688183,-1.3318684993112062,0.09145170194517638
21,1.3953536118303005,0.14069995165241447,-2.8114911458739784,0.0024656223972277513,-1.2822838325736519,0.0998715486505925
22,1.6372810560694808,0.10185147462844041,-2.8722045399316873,0.0020380952224625104,-0.8941844926559933,0.18561159395588867
23,0.9265661099578432,0.13230975203049708,-1.8847142357933309,0.02973421466703613,-0.24297151401264497,0.40401373240906324
25,0.01743315776982042,0.035540253871420784,1.2525450093743484,0.8948143308558842,1.0040702064519775,0.8423276125644494
28,0.6887316612212389,0.06899347689582945,-2.4713334334196007,0.006730512178686865,-0.9947779709797175,0.15992213128281707
29,1.4358253316572254,0.0686296574475299,1.153826238707047,0.875714292725341,0.6520083842983858,0.7428021181669304
31,-0.6156719183538346,0.167647347191348,-3.1971799562001992,0.000693891589251372,-1.3212517133753325,0.09320872425103804
33,-0.5895216496930715,0.180462943419643,-2.494342221439985,0.006309540713452355,-0.6313123180985352,0.26391816712872496
34,-0.09739563745043776,0.16498489748845216,-2.3494711936381316,0.009400049378789521,-1.42558436675163,0.07699417573811995
35,0.7148473854681064,0.06689552443029206,-2.7345392526511474,0.0031233823432728625,-0.25868471925819136,0.3979392553081171
36,2.091236643225278,0.04844419454085951,1.0078241227340607,0.8432305484422709,0.6344589364044311,0.7371093213283976
37,1.6717591775600387,0.08525015212450851,-1.8078228939162246,0.03531703470359593,-0.8282498613637975,0.203764505628513
39,-0.2482597877514793,0.13612990694358393,-2.6343312656363773,0.004215159689191061,-1.0575861389934993,0.14512208226870948
41,1.0655842837776552,0.06993185123973317,-3.625921798919557,0.00014396624370222044,-0.8396676729884583,0.20054737208464296
42,0.3042797969485951,0.17155901929896955,-3.5840192265601836,0.00016917358156109952,-1.7261645838906747,0.04215890378479892
43,1.0313190736343703,0.09628867778886434,-1.7217145266980878,0.04256062225729296,-0.20056844594210152,0.42051801657560306
44,0.5114386018945698,0.06571550309639218,0.3004588042928314,0.6180863925079345,0.48001948733549515,0.6843932318330357
45,0.08143591368814838,0.12673384607618957,-2.987277221073137,0.0014073717850797696,-1.60544336333593,0.054198133926194825
47,-0.09585943548399828,0.13109308569497186,-1.8352048344708907,0.03323767255242699,-0.6851419952832128,0.24662716111213706
53,1.289416012575337,0.09402808434133435,-1.7962777087812358,0.03622518061539959,-0.9074060394160259,0.18209605843481425
55,1.4763636255458732,0.16905533906265363,0.7322360475054996,0.7679877470816685,-1.4252408243736128,0.0770437995805981
