sub,intercept,beta,learning_rate_environment_reward_raw,learning_rate_environment_reward_transformed,learning_rate_environment_delay_raw,learning_rate_environment_delay_transformed,learning_rate_options_raw,learning_rate_options_transformed
1,-0.8437751398592491,0.09703145709478328,-1.6195653200935596,0.0526628421574738,-1.8069018324537338,0.03538879339339812,0.6110869952885881,0.7294290056077568
2,1.5845797979607612,0.20360205807891193,-2.3899287236742772,0.00842582142889492,-2.257483144792486,0.011988950765906836,-1.3393138214176128,0.09023426554895542
3,-0.27794927358880417,0.14060340809514865,-1.5571246467814852,0.05972044719370201,-1.8032334638769287,0.03567577853371684,-1.429794589866207,0.07638799115515976
4,-2.7570467024949736,0.05397099090151843,-1.5321676938657045,0.06274052922713869,-2.143262087628521,0.016046029638721093,1.652036937811156,0.9507364894511844
5,-1.0667613438140775,0.132834560849743,-1.68281970006104,0.04620500008933598,-1.842966917786965,0.032666920396368426,-1.6839017298164556,0.04610033099750188
6,-0.7159504266838267,0.0953319375818029,-1.6297458939317566,0.05157760666742872,-1.9878825523863788,0.023412340414816823,0.7025535662479625,0.7588329958009511
9,-1.3497545185993827,0.10210212696480819,-1.8962782879633884,0.028961627866805673,-2.1758855117981803,0.014781911207103982,0.16514294185573059,0.5655842628574772
11,0.8926126931925499,0.09657224160735897,-1.8622812942375864,0.03128172536823015,-2.0432695255151416,0.020512882291867207,-0.42293141929161454,0.3361726492091406
12,-1.7183921845357972,0.09933705755597169,-2.1470743860103103,0.015893680050616366,-2.3769594750610104,0.008728002897626819,-0.05113069713148642,0.47961068760167924
13,-2.641241884314957,0.05711379093971496,-1.611248209620206,0.05356281696611176,-2.217763794600916,0.013285470968172008,0.6649770085485253,0.7469674006779754
14,-0.4954924794743459,0.1117854549844776,-1.2601180238064433,0.10381339461289069,-1.7276721292076245,0.04202351153242545,-1.5053763038784655,0.0661136788637049
17,-1.9679405774286358,0.06922893011746699,-1.4891219774272633,0.06822762574117736,-1.9609569562442428,0.0249420221451917,-0.593028954049864,0.2765808876387592
18,0.26874832952391337,0.17620575437510644,-1.9735508639975923,0.024216417772748744,-2.0315003218382546,0.021102133462998995,-1.9937614887761819,0.023089063035595103
19,-1.5655824493559205,0.1384904707243425,-1.4961875319740028,0.06730239635025992,-1.728029804121058,0.041991440554500103,-1.0701755404104025,0.14227015095278045
20,-1.6572903765931764,0.05394206080123234,-1.0821632973998208,0.13958998696350705,-1.844818231349084,0.03253199222189124,-0.15610599736641753,0.4379747355533562
21,0.03831890571378218,0.22380456898117063,-2.866940796452786,0.002072302687979699,-2.683247856497128,0.0036455465921022556,-1.2725283136531027,0.10159273536332131
22,-2.537813796332616,0.13438718020847024,-1.5229689581107375,0.06388323590781647,-1.9295144439757546,0.02683351434824599,-1.9789637761235395,0.023910042408969767
24,-0.8251477415686783,0.07162516120437785,-2.254094662579862,0.012095106691459467,-2.5578755804564484,0.0052656882375984315,-0.27240481886774326,0.3926553839185911
28,-1.965488649971634,0.12695746159515037,-2.415580916785121,0.00785506570337885,-2.6369821118580052,0.004182362122893746,0.4242026710956255,0.6642909935115431
29,-0.429700169892499,0.032925880847903904,-1.553257409777719,0.06018082541050962,-1.8378429801934268,0.03304277311981718,-0.9595488433477354,0.16864116307075783
31,-2.2060512758285107,0.09958384744113076,-1.8291719830912323,0.0336869240692087,-2.0512644347843407,0.02012060098624263,0.031637773590950984,0.5126195402559802
32,0.1298093411760943,0.12309173062732921,-1.5725990016138276,0.0579058495052191,-1.9417544448381732,0.026083417080983495,-1.7892878849487226,0.036784232076310486
34,-1.807111604468209,0.1584374633919673,-1.7542866231809133,0.039690703360977464,-1.9782393087517036,0.023950858084997917,0.4397988251058553,0.6699585906688288
37,-2.9447556923936307,0.07833378714691971,-2.6517051930112867,0.00400432170303594,-2.984506693759982,0.0014201799333823928,0.8027527677012025,0.7889411765233415
42,-1.8839158231890087,0.15078734250550885,-2.2886804768199807,0.011048962087102099,-2.2717380214885927,0.011551169135420647,-1.1211064106038402,0.1311212851304735
43,-2.836493281018458,0.2183960430773158,-2.2424748347543333,0.01246534998357135,-2.279706561812473,0.011312548937624567,0.42911755858828415,0.666081162602197
44,0.3028557038934797,0.10148336309992186,-1.6817317568714945,0.046310433539982265,-1.8141417482701467,0.03482795279714457,0.0015943344142702086,0.5006360471374898
45,-2.543526273119713,0.015903691317226822,-1.722326018670764,0.04250523849699184,-2.2095512983020713,0.013568159238706856,0.6297919952698695,0.735584658219594
46,-0.36417914652093947,0.11200540525277136,-2.612372066955714,0.004495816908227757,-2.7046237735030965,0.0034190894524666615,-0.17953944185472717,0.42875707515826317
47,0.9230147210780625,0.10428772533877588,-1.5543044498559735,0.060055906297523054,-1.8915143926501083,0.029277855778994,-1.6744753697249535,0.04701860554721066
48,-2.467425220701978,0.0048277540529911445,-1.3735439952948445,0.08479164693519486,-1.9924766995976735,0.023159389609170522,0.8034194688739782,0.7891338370541003
49,0.4186530005096832,0.23003875274739516,-3.3076036857788194,0.0004704893544184019,-2.9987412043763775,0.001355487368647823,-2.432040400188732,0.007507016267093158
50,-1.228675393575299,0.10245222862169291,-2.034563328511487,0.020947415204467967,-2.1872593485926806,0.014361798269456771,0.39124778949143535,0.6521929565001141
51,0.15201628137448592,0.07451076641530514,-1.83109307095937,0.0335433262891367,-2.263762300690613,0.011794369185535114,-0.04170651988416485,0.48336632818470265
52,-0.7179410517893561,0.16500284432721316,-1.8127791009336816,0.03493294928972546,-1.920444943914765,0.02740086057694674,-0.13130678026456996,0.44776631417868784
57,-3.4865814160228914,0.22174112529713977,-2.2818671777265385,0.011248591583662926,-2.3937945649721755,0.008337542808650622,0.929796701371151,0.823761822719282
58,-0.5864865931506049,0.09674040517488695,-1.756958986818896,0.03946240006576551,-2.290753570776962,0.010988835168532829,-1.2899681574034905,0.09853085710958892
59,-1.0132723709629439,0.06048215470188986,-2.0672202644716657,0.01935670177927873,-2.365764026059907,0.00899645431887447,1.231924076578244,0.8910112766785996
