sub,intercept,beta,learning_rate_raw_pos,learning_rate_raw_neg
2,1.131410982181871,0.0841783325004788,-2.4899593675139426,-2.6777026390594707
3,-1.0558721416029073,0.05420550275229077,-2.4038794592805566,-2.6804239187902565
4,-3.2907990468767436,0.09689144199905324,-2.2935836694533194,-2.7086218881544006
5,-2.207262571366857,0.0571854286480205,-2.2994496226016006,-2.7001496142558974
6,0.4008777615168504,0.06416441568022728,-2.5292262229346165,-2.669331589793871
8,-2.7712144127577383,0.08096973003684767,-1.9206492591082485,-2.713407887650574
9,-3.592699982849158,0.07938550530707558,-2.295062100639376,-2.692570348408617
10,-1.466953974494585,0.08229517598626049,-2.432239449966121,-2.6915507703678307
11,-0.39852549082485084,0.06719848367390358,-2.4903927171985862,-2.706108341326531
12,-3.8938069413717744,0.09116061246195138,-2.254568157873008,-2.721334773177333
13,-0.6267833442938329,0.0662258456198173,-2.4446558877593625,-2.6865768284425324
14,-3.1265585769663926,0.09494245984388502,-2.3307395276410703,-2.6988439360025125
15,-1.0112552948799662,0.0925038364211798,-2.360597943331915,-2.7150257068906094
16,-0.877881491175448,0.08199299278565754,-2.308282330448876,-2.7063186389828737
17,-2.5793942835814576,0.1043615086222855,-2.4045154344221777,-2.698410779272593
18,0.8925624014404626,0.07157368214924209,-2.4487839672610114,-2.697294116785127
20,-0.9954437449265843,0.0387999783126948,-2.408099121885609,-2.7130259432710178
21,-0.11339456128635315,0.05596519259888452,-2.4930945834114704,-2.698558420067572
22,-0.3680528340553455,0.06052690606182355,-2.497245710338778,-2.6749199918431605
23,-3.12367590482538,0.10656971747430993,-2.3467893003895868,-2.69905774854819
25,-1.4359437560439803,0.03350779802677911,-2.3979310256262534,-2.698655322236426
28,-0.0772581759705186,0.04217717987346979,-2.488925303889378,-2.699480199262885
29,-2.9554961556623485,0.0343444135630584,-2.581256088488685,-2.6739813626841915
31,-1.26922434384684,0.04553768662595867,-2.587940388090799,-2.6762631245569932
33,-2.582433259506166,0.09754928839416022,-2.3649421481364534,-2.700412911866982
34,-2.009402267628649,0.054883913658488145,-2.263875533211736,-2.7040521398995043
35,0.6201643522808494,0.04499141158526113,-2.6587068715411317,-2.6661305120125833
36,-2.231475576881377,0.05933616507883322,-2.5175811925662916,-2.684205454398914
37,-0.5093866268515772,0.09119962190935658,-2.3386322150049628,-2.7113548576841087
39,-2.9321683298188663,0.07962866280022692,-2.188028950335175,-2.7068750258761884
41,-0.8262798836189068,0.03889002477720237,-2.3981707192153814,-2.683166544779825
42,-2.6979458558747407,0.04154959021883638,-2.278875254142846,-2.7200432999541295
43,-2.000658240070388,0.07567754146342227,-2.2553495221926867,-2.715251074653347
44,-3.300681900744607,0.07186446718965774,-2.2466224821020027,-2.7030926605163086
45,-3.100888812473907,0.028855029708093064,-2.2025214585578756,-2.73153332498977
47,-3.6958035513157452,0.048102647089912756,-2.0838243680054283,-2.71665274346191
53,-1.7876642964373637,0.06999739256829636,-2.1562709221046656,-2.7303225722832303
55,-1.577031937633787,0.07389580704733545,-2.381388894887933,-2.7014067311195555
