"MturkID","AssignID","sub_no","age","gender","n_trials","n_force_wrong","n_missed","bonus_payment","percent_accept_A1","percent_accept_A2","percent_accept_A3","percent_accept_A4","percent_accept_A2_A3","percent_accept_B1","percent_accept_B2","percent_accept_B3","percent_accept_B4","percent_accept_B2_B3","percent_accept_B1_min_A1","percent_accept_B2_min_A2","percent_accept_B3_min_A3","percent_accept_B4_min_A4","percent_accept_B2_B3_min_A2_A3","percent_accept_AB1","percent_accept_AB2","percent_accept_AB3","percent_accept_AB4","percent_accept_AB2_AB3","exclude","exclude_reason","order_condition","comment"
"A3V1WO6CU1EQA1","3TXWC2NHNZQV07CW65J93JAODMK9SI",1,"23","M",434,4,4,3.8,0.98936170212766,0,0.15,0.037037037037037,0.075,0.947368421052632,0.592592592592593,0.761904761904762,0.134020618556701,0.666666666666667,-0.0419932810750281,0.592592592592593,0.611904761904762,0.096983581519664,0.591666666666667,0.982300884955752,0.340425531914894,0.463414634146341,0.112903225806452,0.397727272727273,0,"do not exclude",2,"It would be great to have a feature that shows your current amount of fuel collected. Otherwise, great hit!"
"A2VRDE2FHCBMF8","3QHK8ZVMIMIRKNW3KG04I3RJ9SFBLG",2,"38","m",437,57,29,3.6,0.988235294117647,0.85,0,0,0.395348837209302,0.904761904761905,0.958333333333333,0.0357142857142857,0.021505376344086,0.461538461538462,-0.0834733893557423,0.108333333333333,0.0357142857142857,0.021505376344086,0.0661896243291593,0.971698113207547,0.909090909090909,0.0196078431372549,0.018348623853211,0.431578947368421,1,">19 missed",2,"It has been funny, thank you! When I missed too many * I decided to change my strategy ad I aimed just for the grey and the green invaders despite the position of other *."
"AHPOUVK6YUTK1","3A4NIXBJ76ZN3E00B5QDWJ2DLRJLMF",3,"32","f",480,3,2,3.8,0.980769230769231,0.96,0,0.0833333333333333,0.470588235294118,1,1,0,0,0.464285714285714,0.0192307692307693,0.04,0,-0.0833333333333333,-0.00630252100840334,0.985294117647059,0.980392156862745,0,0.0147058823529412,0.467289719626168,0,"do not exclude",1,"That was fun, but my arm hurts from sitting in the same position for too long!"
"A150GMV1YQWWB3","3TE22NPXPBCB1G49Z9R0O8J2DE344A",4,"37","m",409,2,5,3.9,0.989130434782609,0.9,0.818181818181818,0.0416666666666667,0.857142857142857,0.904761904761905,0.523809523809524,1,0.021978021978022,0.761904761904762,-0.0843685300207039,-0.376190476190476,0.181818181818182,-0.0196886446886447,-0.0952380952380952,0.973451327433628,0.707317073170732,0.906976744186046,0.0260869565217391,0.80952380952381,0,"do not exclude",2,""
"A5EU1AQJNC7F2","3F1567XTNW5JNRXJE1U48JVNVYZ9QT",5,"28","F",386,13,28,3.5,0.933333333333333,0.473684210526316,0.347826086956522,0.1,0.404761904761905,0.947368421052632,0.764705882352941,0.736842105263158,0.0789473684210526,0.75,0.0140350877192982,0.291021671826625,0.389016018306636,-0.0210526315789474,0.345238095238095,0.936170212765957,0.611111111111111,0.523809523809524,0.0833333333333333,0.564102564102564,1,">19 missed",2,"none"
"AHDBHMH3AY1V2","3FTOP5WARFOK5A5TJFR2I7I8EZDJ00",6,"31","m",421,1,3,3.9,1,0.833333333333333,0.0454545454545455,0.136363636363636,0.456521739130435,1,0.875,1,0.043956043956044,0.948717948717949,0,0.0416666666666666,0.954545454545455,-0.0924075924075924,0.492196209587514,1,0.85,0.533333333333333,0.0619469026548673,0.682352941176471,0,"do not exclude",2,""
"A1945USNZHTROX","34S6N1K2ZVJ1B0ZPK8A04EUH45KHL2",7,"37","m",263,21,53,3,0.830508474576271,0.866666666666667,0.8,0.615384615384615,0.84,0.75,0.636363636363636,0.857142857142857,0.685714285714286,0.722222222222222,-0.0805084745762712,-0.23030303030303,0.0571428571428571,0.0703296703296703,-0.117777777777778,0.82089552238806,0.769230769230769,0.823529411764706,0.666666666666667,0.790697674418605,1,">19 missed",1,"Fun experiment, I found though that a lot of the key presses resulted in missed responses even though the button was held in."
"A4ZPIPBDO624H","36WLNQG78ZADEHMB3UD0581Z0VEEBW",8,"39","m",422,4,11,3.8,1,0.04,0.461538461538462,0,0.254901960784314,1,0.454545454545455,0.842105263157895,0.0759493670886076,0.634146341463415,0,0.414545454545455,0.380566801619433,0.0759493670886076,0.379244380679101,1,0.234042553191489,0.622222222222222,0.0588235294117647,0.423913043478261,0,"do not exclude",2,"Interesting study."
"A2O7H7VXLFN6BP","3L6L49WXW0XTXZ89DEAAT0PGDAY45F",9,"23","m",447,2,2,3.8,0.990476190476191,0.428571428571429,0.28,0.0869565217391304,0.347826086956522,1,0.333333333333333,0.296296296296296,0,0.313725490196078,0.00952380952380949,-0.0952380952380952,0.0162962962962963,-0.0869565217391304,-0.0341005967604433,0.991935483870968,0.377777777777778,0.288461538461538,0.0175438596491228,0.329896907216495,0,"do not exclude",1,""
"A1L3937MY09J3I","386PBUZZXFXX26UF88DLGRAWHXOLJB",10,"34","m",437,3,4,3.8,1,1,0,0,0.511627906976744,1,0.869565217391304,0.954545454545455,0.0106382978723404,0.911111111111111,0,-0.130434782608696,0.954545454545455,0.0106382978723404,0.399483204134367,1,0.933333333333333,0.488372093023256,0.00869565217391304,0.715909090909091,0,"do not exclude",2,"Way too long on the ""game"" part, it becomes mind-numbing at some point. Also, I experienced a few times where I received a ""missed response"" because the browsers auto-cycled and it dropped my input of the keys. "
"AWXIEV9H6KT9E","36PW28KO4ZW8V7HJXGD4AXHTIDTEA1",11,"24","f",475,20,28,2.8,0.073394495412844,0.0645161290322581,0.0571428571428571,0,0.0606060606060606,0.647058823529412,0.4,0.4,0.349206349206349,0.4,0.573664328116568,0.335483870967742,0.342857142857143,0.349206349206349,0.339393939393939,0.150793650793651,0.173913043478261,0.16,0.239130434782609,0.166666666666667,1,">19 missed",2,""
"A2M3KQ9CKP7YW","369J354OFDA5SJ17DYMGUV0JZAI6GK",12,"55","m",427,0,4,3.8,0.990291262135922,0.96,0,0,0.452830188679245,0.9,0.909090909090909,0.888888888888889,0.0121951219512195,0.9,-0.0902912621359223,-0.0509090909090909,0.888888888888889,0.0121951219512195,0.447169811320755,0.975609756097561,0.936170212765957,0.347826086956522,0.00909090909090909,0.645161290322581,0,"do not exclude",2,"it was fun and fair...thanks"
"A37S96RT1P1IT2","3EF8EXOTT1VKCZQBFYV2WC1IJRJJ13",13,"34","f",363,2,7,3.8,1,0.217391304347826,0.954545454545455,0.0555555555555556,0.577777777777778,1,0.9375,1,0.0163934426229508,0.970588235294118,0,0.720108695652174,0.0454545454545454,-0.0391621129326047,0.39281045751634,1,0.512820512820513,0.975,0.0253164556962025,0.746835443037975,0,"do not exclude",1,"No comment"
"A2S4BU23GT93ZD","3KXIR214I4G1Y2PMVV8CVTM4T0742E",14,"21","m",443,4,7,3.8,1,0.344827586206897,0.259259259259259,0.0357142857142857,0.303571428571429,1,0.956521739130435,0.777777777777778,0.0217391304347826,0.86,0,0.611694152923538,0.518518518518519,-0.0139751552795031,0.556428571428571,1,0.615384615384615,0.518518518518518,0.025,0.566037735849057,0,"do not exclude",2,""
