sub,intercept,beta,learning_rate_raw,perseverance
2,2.3520902305103863,0.0992709171424058,-2.27993634806849,0.4033946903540652
3,0.7604205336161264,0.06551512429211595,-3.178373717479087,0.05260217378656153
4,0.17145778881198415,0.09242605520645983,-1.9953517185454395,0.13307401771065544
5,-0.5459430648851484,0.062023063041992205,-2.8394372815254227,0.3182463544054689
6,0.6301341405071046,0.08105004815201143,-2.0007342745209833,-0.33489813575795
8,0.6392081269959445,0.06479889248795806,-4.049978818355521,-0.0019474377933374407
9,-0.06094997563539051,0.0730724550103879,-2.012355564231967,0.1639319295813283
10,0.45020430687558227,0.08643338973178634,-2.014361358055632,-0.05526311421262968
11,0.8964295956386512,0.07129816729486058,-2.9254838722548757,-0.09918738116365025
12,0.7680980231112362,0.08247596919724723,-2.1548883363128257,0.23431881096602655
13,1.039171579117408,0.07635834493403973,-1.9363949836438201,0.2864812675405094
14,-0.51103882688772,0.10231304539899375,-1.897147129526495,0.21054842694069117
15,0.6581261362036325,0.08710581615316539,-1.9758290317153173,0.43151545149625015
16,0.7996897517000061,0.08976063493116575,-2.3300579075376486,0.043989176510441125
17,1.368735980513395,0.07819641012949616,0.28240599841369635,0.7210187548492156
18,2.4799200551625797,0.08612580616505802,-2.200251417106352,0.3822896866694651
20,2.540699971663586,0.06208939496066395,0.0296698018679614,1.6074176225521843
21,3.3245857448139935,0.07227648198210519,0.5029854923702377,0.8437871259858419
22,2.7664257858539645,0.0678301874101744,0.07714419339151539,1.0937562316410014
23,1.0665076703912575,0.09935276918904216,-1.8552234383896542,-0.23423695511573664
25,0.5545162331253389,0.04542390745834364,1.1396273445729668,0.6169550376276774
28,1.0786113620928062,0.047951029704065104,-0.2926836429677273,0.8450731366782266
29,1.8102918523644818,0.08138411690666121,1.1264989332868254,0.37333820422960456
31,1.6688022234219024,0.07343460580027816,0.44245229630906036,0.6637923767808183
33,-0.3585003298553157,0.09127068979363102,-2.968235855041194,0.0003819660958908644
34,0.04210408456208667,0.07130042518364298,-2.115249576548847,0.44756262193981355
35,2.481150608873767,0.06514401560689262,0.5340684632960072,0.662341691153835
36,2.0504987983221845,0.05885078406981854,0.3834551530611731,1.311209370387062
37,1.3851587858922445,0.07335877008260859,-2.815185501678292,-0.040196643366278956
39,-0.12702281841417037,0.07792780641832973,-1.8919478737832527,0.4968423324268092
41,2.131825981785332,0.05369484594275266,0.19097415121848582,0.8248503457773059
42,0.3813421352846781,0.05904556189013249,-3.466840012061151,-0.0725518103369898
43,1.0886996715744033,0.08633680539605144,-1.6423979758330016,0.3163017379975469
44,0.6725367978375493,0.06746620322565113,0.2798037978682222,0.3123440374768292
45,0.1506289495583908,0.058530369811658066,-2.9866196877083997,0.14891061752222307
47,0.12473972049363144,0.08394247617509407,-1.8970447658345302,0.2125311144169241
53,1.320712714755127,0.07353529122140046,-1.6786575331427989,-0.12320090253920736
55,1.3606250515620468,0.07514898863086193,0.5727263800767035,0.646987301621786
